type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Current_measured_delta,Current_measured_max,Current_measured_mean,Current_measured_min,Current_measured_slope,Current_measured_std,Sense_current_delta,Sense_current_max,Sense_current_mean,Sense_current_min,Sense_current_slope,Sense_current_std,Temperature_measured_delta,Temperature_measured_max,Temperature_measured_mean,Temperature_measured_min,Temperature_measured_slope,Temperature_measured_std,Time_delta,Time_max,Time_mean,Time_min,Time_slope,Time_std,Voltage_measured_delta,Voltage_measured_max,Voltage_measured_mean,Voltage_measured_min,Voltage_measured_slope,Voltage_measured_std,SoH_%,SoC_Progress_%
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],24,B0005,0,1,00001.csv,,,,-0.0016917834599544251,1.5143932321982565,0.6434546691871927,-4.030268477538787,-0.002448890861849242,0.6254070302865201,,,,,,,-0.14831733579080364,27.445134031590747,25.32407901830568,24.167061880805868,-0.0029826080073926888,1.011309693973562,7597.875,7597.875,2725.9524334600765,0.0,9.55673488575443,2231.9849820064574,0.3180603415010026,4.2099486995035615,4.187419504014827,3.479393559379272,0.00011159732907656706,0.045764989123261914,,
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0005,1,2,00002.csv,1.8564874208181574,,,-0.0016267620441443014,0.000728585272845447,-1.8187019641679727,-2.0180146876333027,0.004216258153669917,0.593546181674474,,,,,,,9.900818955970422,38.98218133148803,32.572328114029,24.325993424022467,0.05893763828450065,3.4869204762216834,3690.234,3690.234,1812.0874974619292,0.0,18.753134773614104,1066.555257358222,-0.9143218306800986,4.191491807505295,3.5298286688693397,2.612467347907089,-0.0038569376458675066,0.2359570706808563,100.0,100.0
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],24,B0005,2,3,00003.csv,,,,-0.002135270365036369,1.5151784093535638,0.9490426727251161,-3.361982908688226,-0.0021118922227489566,0.666259837238909,,,,,,,-4.391898475616156,29.34194895777482,26.635622628116085,24.528515200437052,-0.0034518127475192195,1.3577712018661738,10516.0,10516.0,3685.339534042553,0.0,11.088639887854196,3096.8491610407136,0.8640071842406525,4.213016370444398,4.058826443375249,3.001950570776504,0.0005843887756958105,0.1773798660372038,,
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0005,3,4,00004.csv,1.846327249719927,,,-0.0004688037589279945,0.002927403359080335,-1.8175598506612867,-2.016820542901454,0.004258503598208674,0.5951796218062511,,,,,,,9.694384651459377,39.033397966787035,32.72523522519307,24.685948163596,0.05830904283966329,3.4267342264664666,3672.344,3672.344,1803.1433724489798,0.0,18.758629383451943,1061.4523336473942,-0.8895283267243532,4.189773213846608,3.5373201277859714,2.587208728940726,-0.003838899690152266,0.23476492928592219,99.45272071416714,99.29726512841619
charge,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],24,B0005,4,5,00005.csv,,,,0.00028691564666879577,1.5168939445650547,0.9505286974657304,-3.384407789097242,-0.0021183764954662864,0.6669530273269925,,,,,,,-4.576215257265442,29.553300732538816,26.778175507896698,24.600173786523015,-0.003556510801015692,1.371118399905783,10484.547,10484.547,3665.6367865528277,0.0,11.07012191441143,3082.410597324998,0.8347945658073868,4.212788046609961,4.058138828852896,3.0358785775794024,0.0005825047739127722,0.17528687641434834,,
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0005,5,6,00006.csv,1.8353491942234077,,,0.002780048725597015,0.0014836763652280672,-1.8164865418840956,-2.016573862170142,0.004301575067579548,0.5964980204475099,,,,,,,9.498512551808865,38.818796689817404,32.64286193755933,24.734266163954402,0.05778191039428397,3.379475042762775,3651.641,3651.641,1793.8093794871795,0.0,18.752650615805408,1055.6950228947555,-0.8607357261226758,4.188186735991303,3.5437367282719,2.6519168938437794,-0.0037542662330802474,0.22752543549673088,98.86138595081705,98.59837617921889
charge,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],24,B0005,6,7,00007.csv,,,,0.0014038331600806793,1.5175028479320207,0.9523115206216739,-3.4122633601213583,-0.0021234017858556263,0.6662704587130999,,,,,,,-4.561118025380914,29.456340289732644,26.70320405781683,24.49334629714403,-0.003597285745347565,1.3750710881487294,10397.89,10397.89,3636.451544480172,0.0,11.022449777366994,3055.7086536441275,0.8092559795612733,4.212924011950438,4.058904789088504,3.0661450551857485,0.0005791000644447266,0.1726065412766279,,
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0005,7,8,00008.csv,1.8352625275821128,,,0.0005414144335963303,0.001547011952723541,-1.8255891938692528,-2.0159359571668354,0.004072945215779185,0.5834624841611844,,,,,,,9.759213483377053,38.7623045063458,32.51487646204882,24.652243741292516,0.05848498261157535,3.3865437316993527,3631.563,3631.563,1784.3594278350517,0.0,18.749352543626443,1050.0940498280504,-0.8742792599485427,4.188461118855572,3.5436661072601456,2.592947964776547,-0.0038459317537475543,0.23274431724182537,98.85671763794173,97.90364274561144
charge,[2008.       4.       3.       5.      27.      49.125],24,B0005,8,9,00009.csv,,,,0.0009011901377476216,1.5169487474809897,0.9477284862498987,-3.403625146732859,-0.0021248474987414744,0.6684150117614278,,,,,,,-4.805213458491533,29.4813335075363,26.617004288392003,24.42016992589388,-0.0036848168553092406,1.3863920147737276,10495.203,10495.203,3666.7736456776947,0.0,11.076445851491837,3084.3574776972223,0.8155675134761471,4.2128738833616,4.058329981003973,3.0637656606174013,0.0005782132206518881,0.17353550330211395,,
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0005,9,10,00010.csv,1.8346455082120419,,,0.007990104032298922,0.001701454824503414,-1.8261139590277586,-2.017425579158831,0.004073565409733108,0.5834685498827803,,,,,,,9.821088030630566,38.66539257343368,32.38234901543077,24.518700434435164,0.05870449769241261,3.3958806914600226,3629.172,3629.172,1783.5013505154639,0.0,18.73683811762191,1049.3919421131511,-0.8828017934745747,4.188298524761055,3.5423432526672167,2.547419651124539,-0.0038968024278982897,0.2366885716567803,98.82348178817772,97.20894211786647
charge,[2008.       4.       3.       9.      44.      35.078],24,B0005,10,11,00011.csv,,,,-0.0032504728814882334,1.5165104184246716,0.9326606943848299,-3.3944513625869224,-0.002117537398315869,0.6731501315206839,,,,,,,-4.761607414821594,29.39582042914756,26.51849450408942,24.41186883829393,-0.003579246079007174,1.3697737752797174,10792.672,10792.672,3774.6464422268905,0.0,11.231434066717734,3177.186317545632,0.8219197841261598,4.212763963219923,4.059785107501149,3.0593224041262927,0.000568080150559271,0.17408492131430156,,
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0005,11,12,00012.csv,1.8356616600675495,,,0.0010883381825913287,0.0024899497555445145,-1.8168108743168803,-2.0162347618032066,0.004298471659887726,0.5967015706365189,,,,,,,9.67862954407801,38.75169504640032,32.43418218230641,24.51442664842638,0.05859132189695144,3.4173255675455376,3652.281,3652.281,1793.4977589743594,0.0,18.754231115570736,1055.7867319383372,-0.8864866949748449,4.188815807948604,3.5413347346347575,2.5209480504077413,-0.0039120628881731834,0.23931625998293235,98.87821697485944,96.51447505002768
charge,[2008.       4.       3.      14.       6.      43.234],24,B0005,12,13,00013.csv,,,,-0.0023856055395370984,1.5149343200832288,0.9322724824266048,-3.401390462320561,-0.0021204222266674954,0.6740521218860146,,,,,,,-4.733952128707365,29.438424119486054,26.620706323978894,24.527457541863313,-0.0035225491264202612,1.368754831634235,10789.985,10789.985,3776.138970588235,0.0,11.23170458591412,3177.031223720582,0.8276029947924264,4.213176751734383,4.058914241429766,3.0533599221041614,0.0005701419640961953,0.17492119103637335,,
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0005,13,14,00014.csv,1.8351461429226603,,,-0.0007913920492874974,0.002314295882739856,-1.816791144707133,-2.01583310669507,0.00429696984339408,0.5964919190059063,,,,,,,9.713406476715374,38.8207012322275,32.480416444757985,24.575581239008407,0.05867913183901456,3.419542558294876,3650.828,3650.828,1792.8422461538462,0.0,18.747353512761173,1055.400674333478,-0.8946509683888886,4.18839163793879,3.5410250495075215,2.487927319492314,-0.003955746789383667,0.2425153341196382,98.85044855913476,95.81962333894505
charge,[2008.       4.       3.      18.      28.      47.125],24,B0005,14,15,00015.csv,,,,-0.002450573338991824,1.5160376811966019,0.9653291698755072,-3.385806497377117,-0.0021285675007916456,0.6618959022597396,,,,,,,-4.484470155449358,29.510810563981206,26.737918888901717,24.545714784434754,-0.003541011013202761,1.3633224155181507,10127.562,10127.562,3542.7558000000004,0.0,10.8727547874661,2971.749511918519,0.8337660268636169,4.212850577044761,4.053425643583468,3.048720950345317,0.0006059743282325189,0.1775571053031069,,
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0005,15,16,00016.csv,1.8257567905665537,,,-0.0005173770870028236,0.002227616056915605,-1.8443412120754061,-2.0166395518034546,0.003637750984840533,0.5573831672048897,,,,,,,10.04861303702737,38.51713023385634,32.41046186109587,24.71132429046902,0.059176151190916425,3.3516161723228617,3572.453,3572.453,1756.570764397906,0.0,18.739264990355476,1033.2916206868497,-0.8726971507378045,4.188927891511958,3.554133296801584,2.6652049047458775,-0.003849107943058464,0.22731251096165395,98.34468955151549,95.12496676620299
charge,[2008.       4.       3.      22.      38.      27.453],24,B0005,16,17,00017.csv,,,,-0.0003384583079647608,1.5173922491512082,0.9616213808811537,-3.43387007729948,-0.0021348086376311182,0.6639718144564338,,,,,,,-4.807521633552351,29.668813794471543,26.74145703066146,24.51382202883513,-0.0037395208932151955,1.3841787699624821,10147.952999999994,10147.952999999994,3547.5978023887074,0.0,10.881863358643193,2977.902992249332,0.8019854449251138,4.213141772335243,4.055637707823975,3.0824222303522406,0.0005932721749957844,0.1735869632454472,,
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0005,17,18,00018.csv,1.8247738529891333,,,0.0011919859052198333,0.005401028321021492,-1.853972745505648,-2.018357230695621,0.0033844785100388603,0.5424840616663397,,,,,,,10.416617894591525,38.526267904657,32.3461408313,24.628487294051176,0.06004320700697014,3.3724043396197616,3550.594,3550.594,1745.895568421053,0.0,18.723181181575228,1027.0003359055174,-0.8916183154659678,4.189029250882121,3.5529355991467955,2.6038584726333673,-0.0039386593513288425,0.2324538495076242,98.29174345738105,94.43386433837365
charge,[2.008e+03 4.000e+00 4.000e+00 2.000e+00 4.800e+01 6.156e+00],24,B0005,18,19,00019.csv,,,,0.003267264094156197,1.517754813457655,0.9608152867945828,-3.416543780338169,-0.002136760064762007,0.6641380078436662,,,,,,,-4.97443483791896,29.779288735822295,26.7021703105932,24.435380667117133,-0.003908974204797025,1.4147510153022544,10162.094,10162.094,3553.5005667752444,0.0,10.899447823199198,2982.5196574008974,0.811046764478939,4.212949842741421,4.0551389874488235,3.075795646323062,0.0005969560541780407,0.17484391180363582,,
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0005,19,20,00020.csv,1.824613268496936,,,0.007237413746169539,0.0030191479674457028,-1.8535899338510957,-2.0160718378149842,0.00339072215652574,0.5423346882876612,,,,,,,10.45767899775148,38.52698128472781,32.27679750791685,24.561560340089137,0.06028649622720583,3.384318782535614,3551.25,3551.25,1746.0239315789474,0.0,18.72691383694839,1027.2047633099003,-0.9008189439811312,4.189223427076418,3.5512057319376997,2.552853984885676,-0.003993356085964134,0.23672870147542147,98.2830935473199,93.74313398121095
charge,[2.008e+03 4.000e+00 4.000e+00 6.000e+00 5.800e+01 2.960e-01],24,B0005,20,21,00021.csv,,,,0.0007565998952285742,1.5160463401115014,0.961954518108792,-3.4217714333372964,-0.002136150278837237,0.6634398558389827,,,,,,,-5.069946231351061,29.71100043300344,26.608132946993933,24.32273250630084,-0.003956543804765019,1.42477200092305,10119.375,10119.375,3541.3982500000006,0.0,10.865551072381988,2969.4448786879607,0.8168460685890997,4.2132271723869295,4.054491573689291,3.06985284508505,0.0005995789669305557,0.17554945525461832,,
discharge,[2008.       4.       4.       9.      57.      19.765],24,B0005,21,22,00022.csv,1.8246195526864504,,,0.003807633189009579,0.002626400189938571,-1.863380178294828,-2.0160713863396573,0.0031288555975779496,0.5267409991401001,,,,,,,10.885763693803671,38.54143406601644,32.15709350345252,24.43128509546442,0.06140917135423638,3.4192563180601603,3530.25,3530.25,1736.7096984126983,0.0,18.722738114790527,1021.5672302154015,-0.9226404808497661,4.188916055911241,3.549292319740949,2.4724483018527317,-0.004091986727414884,0.2430973444996006,98.28343204622077,93.05246440998259
charge,[2008.       4.       4.      11.       6.      50.375],24,B0005,22,23,00023.csv,,,,-0.0027496385413574064,1.5169315449208305,0.9688176644385617,-3.4044907346629887,-0.0021384690205793044,0.6609868652694818,,,,,,,-4.9120023975713,29.79634895864274,26.63314786563377,24.44909427715232,-0.0038619237826212315,1.3970655679971646,10013.235,10013.235,3498.8114775465497,0.0,10.821358533150537,2935.542487720506,0.8267790545013538,4.212826399381091,4.0526146919932,3.0612589860161115,0.0006110569491103837,0.17729439023205582,,
charge,[2008.       4.       4.      15.       5.      59.906],24,B0005,23,24,00024.csv,,,,0.003212062722968443,1.517755800661927,0.948479102987148,-3.78388997609184,-0.002200749768693585,0.6653019848519954,,,,,,,-5.372463993497693,30.37677905152779,27.033644494333256,24.588334332873952,-0.0049709184859079185,1.5543978163047227,9586.875,9586.875,3370.996879598662,0.0,10.565651733357003,2813.493867733024,0.5412659196242879,4.212863906558764,4.076087195502948,3.34157125606709,0.0005157958734692983,0.1443924545276609,,
